Site ;sample;trt_ratio_casy;honeybees
Haa;1;0,283596598;yes
Haa;2;0,0990645;yes
Haa;3;0,170333261;yes
Haa;5;0,086094132;yes
Haa;6;0,301869159;yes
Haa;7;0,287645887;yes
Haa;8;0,191462384;yes
Hp;1;1,129240711;yes
Hp;2;0,753013662;yes
Hp;3;1,051645969;yes
Hp;4;1,588856868;yes
Hp;5;1,094802453;yes
Hp;6;0,549796748;yes
Hp;7;1,129935721;yes
Hp;8;1,064714946;yes
Juh;1;0,255969026;yes
Juh;2;0,742634146;yes
Juh;3;0,741691435;yes
Juh;4;0,283596598;yes
Juh;5;1,385932561;yes
Juh;6;0,619257951;yes
Juh;7;0,473628969;yes
Juh;8;0,286777013;yes
Kek;1;0,727827311;no
Kek;2;1,155478776;no
Kek;3;0,369170647;no
Kek;4;0,634318483;no
Kek;5;1,220893142;no
Kek;6;0,509349955;no
Kek;8;0,395484814;no
Palo;1;0,610517991;no
Palo;2;0,293123144;no
Palo;3;0,282664983;no
Palo;4;0,315283123;no
Palo;5;0,538313439;no
Palo;6;0,275365914;no
Palo;7;0,432898519;no
Palo;8;0,455815465;no
Pap;1;0,605805959;no
Pap;2;0,660748746;no
Pap;3;0,298321939;no
Pap;4;2,177419355;no
Pap;5;1,26744186;no
Pap;6;1,120131394;no
Pap;7;1,179038087;no
Pap;8;0,882110869;no